Learning Block,CBT Name,Course ID,Modality,Topic
1,Asurion_ASCND_All_Welcome to Asurion: The Training Journey,1c897e37ab5a100158f0bfe99d4d0001,CBT,
1,Asurion_All_The Asurion Way,,CBT,
1,Asurion_ASCND_All_HR Essentials,1c897e37ab5a100159179ce8d9b40001,CBT,
1,Asurion_ASCND_All_Asurion Essentials,64844428d3b01001097caca7a7810001,CBT,
1,Compassion Forward and Inclusion & Belonging - US,73acee92da1810016b1d463f83fc0000,CBT,
1,Asurion_All_HUB Jabra Headset Policies and Procedures,537b8cabbbe610016b5358725c330001,CBT,
1,Asurion_All_CPNI and Asurion,638adfafc54610016ad537fc10560000,CBT,
1,Soluto_VZW_Treatment Of Information Acknowledgement,73acee92da1810016b45994a25e10000,CBT,
1,Soluto_VZW_Employee Certification Acknowledgement,fe346475579110016b21a45dd0990000,CBT,
1,Soluto_All_Paperless Clean Desk Environment Policy,fe346475579110016b010d2f573e0001,CBT,
1,Asurion_All_MS Teams Retention Policy,537b8cabbbe610016b54640d52ac0001,CBT,
1,Asurion_All_Training Attendance Policy And Expectations,638adfafc54610016ad88c10c27b0000,CBT,
1,"Integrity First: New Hire (Americas, PHL Employees)",ab560ee2ab771001246f0ab793550000,CBT,
2,Soluto_ASCND_VZW_Call Flow: Closer Look,200088594125100109a1c7c2777e0001,CBT,
2,Soluto_ASCND_VZW_Intro to Scope of Support,,CBT,
3,Soluto_ASCND_VZW_Expert Workspace Overview,200088594125100109baea69be6a0000,CBT,
3,Asurion_ASCND_All_Helix Search,64844428d3b0100109bde109fd2d0001,CBT,
3,Soluto_ASCND_VZW_Guided Flows,64844428d3b0100109ca30a1a30c0001,CBT,
3,Asurion_ASCND_All_LogMeIn,64844428d3b0100109e6ab91899f0001,CBT,
4,Soluto_ASCND_VZW_ACSS Foundations,64844428d3b0100109f8c85d1a9b0000,CBT,
4,Soluto_ASCND_VZW_InfoManager Foundations,20008859412510010a124f082d430000,CBT,
4,Soluto_ASCND_VZW_TRG Foundations,64844428d3b010010a23cff2276d0001,CBT,
5,Soluto_ASCND_VZW_Home Plans and Insurance,20008859412510010a38b04b1efd0001,CBT,
5,Soluto_ASCND_VZW_Verizon Home Device Protect Product Details,20008859412510010c417ba678200000,CBT,
5,Asurion_All_Sales Compliance for Everyone,638adfafc54610016ad7e4d2c70c0000,CBT,
5,Asurion_All_Sales Integrity Acknowledgement (New Hire 2026),43360ed599dd10016b35bb4737960001,CBT,
6,Soluto_ASCND_VZW_Verizon Tech Coach Greeting,64844428d3b010010c4df913730d0001,CBT,
6,Soluto_ASCND_VZW_Verification Overview,64844428d3b010010c589cf863e70000,CBT,
6,Soluto_ASCND_VZW_Account Assessment,64844428d3b010010c68358fee6d0001,CBT,
7,Soluto_ASCND_All_How to Troubleshoot Using Tools,64844428d3b010010c7a298a80490001,CBT,
7,Soluto_ASCND_All_How to Use Active Listening While Troubleshooting,20008859412510010ca5ca35219b0000,CBT,
7,Soluto_ASCND_All_When Troubleshooting Does Not Resolve the Issue,20008859412510010cb3526f0c4f0001,CBT,
8,Soluto_ASCND_All_iOS vs Android,64844428d3b010010cb9c74f4ebf0001,CBT,
9,Soluto_ASCND_All_Hardware and Software Concerns,20008859412510010ccdfaa862f80000,CBT,
10,Soluto_ASCND_VZW_Network Concerns,,CBT,
11,"Soluto_ASCND_VZW_Activations: Expert Role, Customer Role, and Tool Intro",20008859412510010d0806d3bb270000,CBT,
11,Soluto_ASCND_VZW_Activations Process,,CBT,
12,Soluto_ASCND_VZW_Account Concerns,,CBT,
13,Soluto_ASCND_VZW_Insurance Claims,64844428d3b010010d0fd7695ab00001,CBT,
13,Soluto_ASCND_VZW_Device Repair and Replacements,,CBT,
14,Soluto_ASCND_VZW_Smart Offer Part 1,64844428d3b010010d1de0960dff0000,CBT,
14,Soluto_ASCND_VZW_Smart Offer Part 2,20008859412510010d52f421f1940001,CBT,
14,Soluto_ASCND_VZW_Sales Compliance Refresher,64844428d3b010010d6b15b00bf10000,CBT,
15,Soluto_ASCND_VZW_The Closing Framework,,CBT,
16,Asurion_ASCND_All Using Aspect and Reporting Downtime Procedures,,CBT,
16,Soluto_ASCND_VZW_Metrics Overview,20008859412510010d9085ba6caa0000,CBT,
16,Soluto_ASCND_VZW_Verizon Yubikey Registration,,CBT,
