"Learning Block","Duration (Minutes)","Course","Modality","Workday Learning Link","Resource"
"Learning Block 01",,"Soluto_ASCND_VZW_LB1 Welcome to Asurion Trainer Guide","Trainer Guide","https://wd5.myworkday.com/asurion/learning/course/b6ea5643f87010011a05289e6dbf0001",
"Learning Block 01","5","Asurion_ASCND_All Welcome to Asurion Video","Video","https://wd5.myworkday.com/asurion/learning/course/aa49bae92d2210019ff7612523820000",
"Learning Block 01","45","Asurion_ASCND_All_Welcome to Asurion: Tech Connections Activity Guide","Activity Guide","https://wd5.myworkday.com/asurion/learning/course/00fd656d9fb8100117edf1182b420000",
"Learning Block 01","45","Soluto_ASCND_All_Innovation Lab Trainer Guide","Activity Guide","https://wd5.myworkday.com/asurion/learning/course/b6ea5643f8701001180d15cea09e0000",
"Learning Block 01","30","Asurion_All_Quest Password Manager","Resource","https://wd5.myworkday.com/asurion/learning/course/537b8cabbbe610016b5799da7bfb0000",
"Learning Block 01","20","Asurion_ASCND_All_Welcome to Asurion: The Training Journey","CBT","https://wd5.myworkday.com/asurion/learning/course/1c897e37ab5a100158f0bfe99d4d0001",
"Learning Block 01","15","Asurion_All_The Asurion Way","CBT","https://wd5.myworkday.com/asurion/d/inst/1$17816/17816$238.htmld",
"Learning Block 01","20","Asurion_ASCND_All_HR Essentials","CBT","https://wd5.myworkday.com/asurion/learning/course/1c897e37ab5a100159179ce8d9b40001",
"Learning Block 01","15","Asurion_ASCND_All_Asurion Essentials","CBT","https://wd5.myworkday.com/asurion/learning/course/64844428d3b01001097caca7a7810001",
"Learning Block 01","15","Compassion Forward and Inclusion & Belonging - US","CBT","https://wd5.myworkday.com/asurion/d/inst/1$17816/17816$422.htmld",
"Learning Block 01","5","Asurion_All_HUB Jabra Headset Policies and Procedures","CBT","https://wd5.myworkday.com/asurion/d/inst/1$17816/17816$416.htmld",
"Learning Block 01","10","Asurion_All_CPNI and Asurion ","CBT","https://wd5.myworkday.com/asurion/d/inst/1$17816/17816$407.htmld",
